American Samoa|1||684
Anguilla|1||264
Antigua And Barbuda|1||268
Bahamas|1||242
Barbados|1||246
Bermuda|1||441
Canada|1|Manitoba|204
Canada|1|Victoria, British Columbia|250
Canada|1|Greater Toronto Area|289
Canada|1|Saskatchewan|306
Canada|1|Southern Alberta (Calgary)|403
Canada|1|Ontario (Toronto Metro)|416 
Canada|1|Quebec (Quebec City)|418
Canada|1|Quebec|450
Canada|1|New Brunswick|506
Canada|1|Montreal|514
Canada|1|Ontario|519
Canada|1|British Columbia|604
Canada|1|Ontario|613
Canada|1|Toronto (Ontario)|647
Canada|1|Ontario|705
Canada|1|Newfoundland|709
Canada|1|British Columbia|778
Canada|1|Northern Alberta (Edmonton)|780
Canada|1|Ontario|807
Canada|1|Quebec|819
Canada|1|Yukon And Nw Territories|867
Canada|1|Nova Scotia- Prince Edward Island|902
Canada|1|Greater Toronto Area|905
Cayman Islands|1||345
Dominica|1||767
Dominican Republic|1||809
Dominican Republic|1||829
Grenada|1|And Carriacou|473
Guam|1||671
Jamaica|1||876
Montserrat|1||664
Northern Mariana Islands|1||670
Puerto Rico|1||787
Puerto Rico|1||939
Saint Kitts And Nevis|1||869
Saint Lucia|1||758
Saint Vincent And The Grenadines|1||784
Trinidad And Tobago|1||868
Turks And Caicos Islands|1||649
United States|1|New Jersey|201
United States|1|District Of Columbia|202
United States|1|Connecticut|203
United States|1|Alabama|205
United States|1|Washington|206
United States|1|Maine|207
United States|1|Idaho|208
United States|1|California|209
United States|1|Texas|210
United States|1|New York|212
United States|1|California|213
United States|1|Texas|214
United States|1|Pennsylvania|215
United States|1|Ohio|216
United States|1|Illinois|217
United States|1|Minnesota|218
United States|1|Indiana|219
United States|1|Illinois|224
United States|1|Louisiana|225
United States|1|Mississippi|228
United States|1|Georgia|229
United States|1|Michigan|231
United States|1|Ohio|234
United States|1|Florida|239
United States|1|Maryland|240
United States|1|Michigan|248
United States|1|Alabama|251
United States|1|North Carolina|252
United States|1|Washington|253
United States|1|Texas|254
United States|1|Alabama|256
United States|1|Indiana|260
United States|1|Wisconsin|262
United States|1|Pennsylvania|267
United States|1|Michigan|269
United States|1|Kentucky|270
United States|1|Virginia|276
United States|1|Texas|281
United States|1|Maryland|301
United States|1|Delaware|302
United States|1|Colorado|303
United States|1|West Virginia|304
United States|1|Florida|305
United States|1|Wyoming|307
United States|1|Nebraska|308
United States|1|Illinois|309
United States|1|California|310
United States|1|Illinois|312
United States|1|Michigan|313
United States|1|Missouri|314
United States|1|New York|315
United States|1|Kansas|316
United States|1|Indiana|317
United States|1|Louisiana|318
United States|1|Iowa|319
United States|1|Minnesota|320
United States|1|Florida|321
United States|1|California|323
United States|1|Texas|325
United States|1|Ohio|330
United States|1|Alabama|334
United States|1|North Carolina|336
United States|1|Louisiana|337
United States|1|Massachusetts|339
United States|1|New York|347
United States|1|Massachusetts|351
United States|1|Florida|352
United States|1|Washington|360
United States|1|Texas|361
United States|1|Florida|386
United States|1|Rhode Island|401
United States|1|Nebraska|402
United States|1|Georgia|404
United States|1|Oklahoma|405
United States|1|Montana|406
United States|1|Florida|407
United States|1|California|408
United States|1|Texas|409
